자치구,기준년월,대여건수,반납건수
강남구,202307,115757,109869
강남구,202308,123466,116392
강남구,202309,144200,136151
강남구,202310,174635,165874
강남구,202311,113267,108613
강남구,202312,63129,61066
강동구,202307,174845,176511
강동구,202308,171497,173095
강동구,202309,191756,193562
강동구,202310,223263,224838
강동구,202311,145340,145787
강동구,202312,87333,87262
강북구,202307,57206,56763
강북구,202308,56233,55740
강북구,202309,67757,67056
강북구,202310,72818,72371
강북구,202311,48363,48265
강북구,202312,30978,30984
강서구,202307,487041,486810
강서구,202308,486610,486052
강서구,202309,517578,517539
강서구,202310,613280,612362
강서구,202311,427510,426688
강서구,202312,272404,271476
관악구,202307,101370,100865
관악구,202308,100591,99021
관악구,202309,112707,111002
관악구,202310,126612,125169
관악구,202311,79953,78988
관악구,202312,48019,47126
광진구,202307,183265,180856
광진구,202308,189193,186866
광진구,202309,227744,225438
광진구,202310,257546,254743
광진구,202311,166459,163293
광진구,202312,101353,100056
구로구,202307,161631,161503
구로구,202308,161170,161124
구로구,202309,185926,185817
구로구,202310,216877,216659
구로구,202311,142881,142287
구로구,202312,85072,84658
금천구,202307,73152,72386
금천구,202308,71486,71103
금천구,202309,78633,77970
금천구,202310,93325,92584
금천구,202311,64822,64681
금천구,202312,38275,38520
노원구,202307,233453,233432
노원구,202308,228572,228478
노원구,202309,274860,274405
노원구,202310,308431,308339
노원구,202311,209413,208898
노원구,202312,133657,132817
도봉구,202307,85003,86098
도봉구,202308,84777,85482
도봉구,202309,98936,99431
도봉구,202310,109130,109452
도봉구,202311,71152,71320
도봉구,202312,46234,45982
동대문구,202307,140331,144930
동대문구,202308,140211,145392
동대문구,202309,157468,160432
동대문구,202310,176797,180414
동대문구,202311,119585,121599
동대문구,202312,72983,74463
동작구,202307,80495,81209
동작구,202308,81065,82442
동작구,202309,97806,98113
동작구,202310,112886,113448
동작구,202311,66269,66604
동작구,202312,38756,39359
마포구,202307,191226,190462
마포구,202308,195395,194244
마포구,202309,231995,231103
마포구,202310,269514,271112
마포구,202311,152755,155963
마포구,202312,92430,94349
서대문구,202307,78223,75693
서대문구,202308,77442,75664
서대문구,202309,91363,88577
서대문구,202310,102646,99233
서대문구,202311,65063,61358
서대문구,202312,38645,36429
서초구,202307,111537,109760
서초구,202308,114755,114128
서초구,202309,139370,139501
서초구,202310,166150,165910
서초구,202311,100015,98905
서초구,202312,57878,57593
성동구,202307,143184,143901
성동구,202308,145660,145722
성동구,202309,177130,177447
성동구,202310,209113,211345
성동구,202311,132398,135152
성동구,202312,82999,84433
성북구,202307,92989,94218
성북구,202308,92575,93254
성북구,202309,115577,115933
성북구,202310,130018,130655
성북구,202311,85597,85526
성북구,202312,52862,52346
송파구,202307,334768,335260
송파구,202308,333556,334193
송파구,202309,381856,383193
송파구,202310,465427,467115
송파구,202311,291050,292193
송파구,202312,178862,178873
양천구,202307,239665,240691
양천구,202308,237222,238404
양천구,202309,267934,269325
양천구,202310,309248,310858
양천구,202311,207459,208319
양천구,202312,127811,128147
영등포구,202307,326055,322576
영등포구,202308,324797,322763
영등포구,202309,378506,374979
영등포구,202310,448066,444531
영등포구,202311,286615,283566
영등포구,202312,176754,174895
용산구,202307,74595,74417
용산구,202308,76641,76424
용산구,202309,98660,98126
용산구,202310,119852,119178
용산구,202311,62830,62407
용산구,202312,37366,37068
은평구,202307,102688,105278
은평구,202308,102990,105566
은평구,202309,119921,122523
은평구,202310,132397,134551
은평구,202311,83786,84933
은평구,202312,50519,50851
종로구,202307,134300,127734
종로구,202308,132381,125646
종로구,202309,150237,143239
종로구,202310,176074,168728
종로구,202311,125793,122247
종로구,202312,75436,73667
중구,202307,94678,88984
중구,202308,92077,86985
중구,202309,104343,98114
중구,202310,126435,120130
중구,202311,88300,84929
중구,202312,53468,51639
중랑구,202307,114543,116339
중랑구,202308,115131,116630
중랑구,202309,136810,139063
중랑구,202310,152702,154219
중랑구,202311,97262,98182
중랑구,202312,61228,61550
