# Day08 학습 정리

Day08에서는 자바 객체 지향 프로그래밍의 핵심인 '다형성(Polymorphism)'과 '타입 변환(Type Casting)'을 심도 있게 다루고, 이와 관련된 중요한 개념들을 학습했습니다.

## 주요 학습 내용:

1.  **다형성(Polymorphism)과 타입 변환 (_01_TypeChange.java, _02_TypeChange.java, _03_TypeChange_calendar, _04_TypeChange_bike)**
    *   **다형성 개념**: 하나의 객체가 여러 형태를 가질 수 있는 능력으로, 부모 타입의 참조 변수가 자식 객체를 참조하는 것을 이해했습니다.
    *   **업캐스팅(Upcasting)**: 자식 객체를 부모 타입으로 참조하는 자동적이고 안전한 형변환을 학습했습니다.
    *   **다운캐스팅(Downcasting)**: 부모 타입으로 참조되던 객체를 다시 자식 타입으로 변환하는 명시적 형변환을 배웠으며, `instanceof` 연산자를 사용하여 `ClassCastException`을 방지하는 안전한 방법을 강조했습니다.
    *   **필드 접근 vs 메소드 호출**: 다형성 환경에서 필드 접근은 참조 변수 타입에, 메소드 호출은 실제 객체 타입에 따라 결정됨을 명확히 구분했습니다.
    *   `Parent/Child`, `Car/Bus/SchoolBus/OpenCar/SportsCar`, `Calendar/DeskCalendar`, `Bike/FourWheelBike` 등 다양한 예시를 통해 다형성과 타입 변환의 원리를 시각적으로 이해했습니다.

2.  **다형성 활용 실습 (_05_Practice_Computer)**
    *   `ComputerRoom` 예제를 통해 `Computer` 타입의 참조 변수로 `LG`와 `Samsung` 컴퓨터 객체를 관리하며, 다형성이 코드의 유연성과 확장성을 어떻게 높이는지 실습했습니다.

3.  **`instanceof` 연산자 (_06_InstanceOf.java, _08_InstanceOf.java)**
    *   **`instanceof`**: 객체의 실제 타입을 확인하는 `instanceof` 연산자의 사용법을 배웠습니다.
    *   `instanceof`와 `==` 연산자의 차이점(`instanceof`는 타입 확인, `==`는 메모리 주소 비교)을 명확히 이해했습니다.

4.  **다형성을 통한 코드 개선 (_07_CheckByMethod.java)**
    *   `instanceof` 없이 메소드 오버라이딩과 다형성만으로 객체의 종류에 따라 다른 동작을 수행하게 하여, 더 깔끔하고 확장성 있는 코드를 작성하는 방법을 학습했습니다.

5.  **기본 자료형 vs 참조 자료형 (_09_Reference.java)**
    *   **기본 자료형**: 실제 값을 저장하며 '값 전달(Call by Value)' 방식으로 동작함을 이해했습니다.
    *   **참조 자료형**: 객체의 메모리 주소를 저장하며 '참조 전달(Call by Reference)' 방식으로 동작함을 이해했습니다.
    *   메소드 호출 시 참조 자료형의 변경이 원본 객체에 영향을 미치는 과정을 확인했습니다.

6.  **메소드 오버로딩 vs 오버라이딩 (_10_OverloadingOverriding.java)**
    *   **오버로딩**: 같은 클래스 내에서 메소드 이름은 같지만 매개변수가 다른 여러 메소드를 정의하는 것임을 명확히 했습니다.
    *   **오버라이딩**: 부모 클래스의 메소드를 자식 클래스에서 재정의하는 것임을 이해했습니다.
    *   다형성 환경에서 오버라이딩된 메소드는 실제 객체의 메소드가 호출되지만, 오버로딩된 메소드는 부모 타입 참조 변수로 직접 호출할 수 없음을 확인했습니다.

7.  **다형성 활용 퀴즈 (_11_Quiz/BurgerType, _12_Day08LastQuiz/Zoo, Zoo2)**
    *   **햄버거 조리 시뮬레이션**: `Hamburger` 배열에 다양한 자식 햄버거 객체를 저장하고 `cook()` 메소드를 호출하여 다형성을 실습했습니다.
    *   **동물원 시뮬레이션**: 다형성을 사용하지 않은 `Zoo` 예제(`Zoo.java`)의 문제점(코드 중복, 확장성 부족)을 파악하고, `Zoo2` 예제(`Zoo2.java`)에서 다형성을 활용하여 이를 어떻게 해결하는지 비교 분석했습니다.

Day08 학습을 통해 자바 객체 지향 프로그래밍의 핵심인 다형성과 타입 변환을 깊이 이해하고, 이를 실제 코드에 적용하여 유연하고 확장 가능한 프로그램을 설계하는 능력을 크게 향상시켰습니다.
